alpha,seed,v_orbit,tau_var,eta_var
3.9,20,0.0,0.0,0.0
3.9,22,0.0,0.0,0.0
3.9,23,0.0,0.0,0.0
3.9,24,0.0,0.0,0.0
3.9,25,0.0,0.0,0.0
3.9,26,0.0,0.0,0.0
3.9,27,0.0,0.0,0.0
3.9,28,0.0,0.0,0.005208333333333338
3.9,29,0.0,0.0,0.00617283950617284
3.9,31,0.0,0.0,0.0
3.9,30,0.0,0.0,0.0
3.9,32,0.0,0.0,0.0
3.9,33,0.0,0.0,4.930380657631324e-32
3.9,35,0.0,0.0,0.0
3.9,34,0.0,0.0,0.0
3.9,36,0.0,0.0,0.0
3.9,37,0.0,0.0,0.0
3.9,38,0.0,0.0,0.0
3.9,39,0.0,0.0,0.0
3.9,40,0.0,0.0,0.0
3.9,41,0.0,0.0,0.0
3.9,42,0.16206136246254552,0.7875,0.2446363082990398
3.9,43,0.0,0.0,0.006172839506172844
3.9,44,0.0,0.0,0.0
3.9,45,0.0,0.0,0.0
3.9,47,0.0,0.0,0.0
